"DirectoryName","Name","BaseName"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$.jpg","$"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$100..jpg","$100."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$12.00 (2).jpg","$12.00 (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$12.00.jpg","$12.00"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$14. (2).jpg","$14. (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$14..jpg","$14."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$2.jpg","$2"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$21. (2).jpg","$21. (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$21..jpg","$21."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$300..jpg","$300."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$4.jpg","$4"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$45..jpg","$45."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$50. rec(2).jpg","$50. rec(2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$50..jpg","$50."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","$_100.jpg","$_100"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104",",_as_.jpg",",_as_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104",".00_o.jpg",".00_o"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104",".A_No.jpg",".A_No"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","._o.jpg","._o"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","._Sm.jpg","._Sm"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0. (2).jpg","0. (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0..jpg","0."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0.jpg","0"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0._.jpg","0._"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","00..jpg","00."
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","00.jpg","00"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","09.jpg","09"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0_.jpg","0_"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","0_on.jpg","0_on"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","1.59.jpg","1.59"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","100.jpg","100"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","100._.jpg","100._"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","10H.jpg","10H"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","12 (2).jpg","12 (2)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","12 (3).jpg","12 (3)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","12 (4).jpg","12 (4)"
"C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104","12.jpg","12"
