DirectoryName (1)	Name	BaseName	CleanName	Has_Numbers				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$.jpg	$	#VALUE!	0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$100..jpg	$100.00 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$12.00 (2).jpg	$12.00 (2)	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$12.00.jpg	$12.00 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$14. (2).jpg	$14. (2)	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$14..jpg	$14.00 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$2.jpg	$2 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$21. (2).jpg	$21. (2)	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$21..jpg	$21.00 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$300..jpg	$300.00 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$4.jpg	$4 	#VALUE!	1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$45..jpg	$45.00 		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$50. rec(2).jpg	$50. rec(2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$50..jpg	$50.00 		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	$_100.jpg	$_100		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	,_as_.jpg	,_as_		0			0	#VALUE!,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	.00_o.jpg	.00_o		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	.A_No.jpg	.A_No		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	._o.jpg	._o		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	._Sm.jpg	._Sm		0				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0. (2).jpg	0. (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0..jpg	0		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0.jpg	0		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0._.jpg	0._		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	00..jpg	0		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	00.jpg	0		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	09.jpg	9		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0_.jpg	0_		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	0_on.jpg	0_on		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	1.59.jpg	1.59		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	100.jpg	100		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	100._.jpg	100._		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	10H.jpg	10H		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	12 (2).jpg	12 (2)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	12 (3).jpg	12 (3)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	12 (4).jpg	12 (4)		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	12.jpg	12		1				,,,,,
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\dataset\104	14.jpg	14		1				,,,,,
