C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$ (2).jpg,$ (2).jpg,$ (2),$ ,3,$ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$.jpg,$.jpg,$,#VALUE!,0,$
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$1. (2).jpg,$1. (2).jpg,$1. (2),$1. ,5,$1. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$1..jpg,$1..jpg,$1.,#VALUE!,0,$1.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$100. (2).jpg,$100. (2).jpg,$100. (2),$100. ,7,$100. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$100..jpg,$100..jpg,$100.,#VALUE!,0,$100.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$11 (2).jpg,$11 (2).jpg,$11 (2),$11 ,5,$11 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$11.jpg,$11.jpg,$11,#VALUE!,0,$11
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$12.00 (2).jpg,$12.00 (2).jpg,$12.00 (2),$12.00 ,8,$12.00 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$12.00 (3).jpg,$12.00 (3).jpg,$12.00 (3),$12.00 ,8,$12.00 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$12.00 (4).jpg,$12.00 (4).jpg,$12.00 (4),$12.00 ,8,$12.00 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$12.00.jpg,$12.00.jpg,$12.00,#VALUE!,0,$12.00
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$14. (2).jpg,$14. (2).jpg,$14. (2),$14. ,6,$14. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$14. (3).jpg,$14. (3).jpg,$14. (3),$14. ,6,$14. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$14. (4).jpg,$14. (4).jpg,$14. (4),$14. ,6,$14. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$14..jpg,$14..jpg,$14.,#VALUE!,0,$14.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$2 (2).jpg,$2 (2).jpg,$2 (2),$2 ,4,$2 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$2.jpg,$2.jpg,$2,#VALUE!,0,$2
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$21. (2).jpg,$21. (2).jpg,$21. (2),$21. ,6,$21. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$21. (3).jpg,$21. (3).jpg,$21. (3),$21. ,6,$21. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$21. (4).jpg,$21. (4).jpg,$21. (4),$21. ,6,$21. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$21..jpg,$21..jpg,$21.,#VALUE!,0,$21.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$300. (2).jpg,$300. (2).jpg,$300. (2),$300. ,7,$300. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$300..jpg,$300..jpg,$300.,#VALUE!,0,$300.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$4 (2).jpg,$4 (2).jpg,$4 (2),$4 ,4,$4 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$4.jpg,$4.jpg,$4,#VALUE!,0,$4
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$45. (2).jpg,$45. (2).jpg,$45. (2),$45. ,6,$45. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$45..jpg,$45..jpg,$45.,#VALUE!,0,$45.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$4_ (2).jpg,$4_ (2).jpg,$4_ (2),$4_ ,5,$4_ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$4_.jpg,$4_.jpg,$4_,#VALUE!,0,$4_
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$50. (2).jpg,$50. (2).jpg,$50. (2),$50. ,6,$50. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$50. rec(2).jpg,$50. rec(2).jpg,$50. rec(2),$50. rec,9,$50. rec
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$50. rec(3).jpg,$50. rec(3).jpg,$50. rec(3),$50. rec,9,$50. rec
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$50..jpg,$50..jpg,$50.,#VALUE!,0,$50.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$_100 (2).jpg,$_100 (2).jpg,$_100 (2),$_100 ,7,$_100 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\$_100.jpg,$_100.jpg,$_100,#VALUE!,0,$_100
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\,,#VALUE!,#VALUE!,0,#VALUE!
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\,,#VALUE!,#VALUE!,0,#VALUE!
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\,,#VALUE!,#VALUE!,0,#VALUE!
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\,,#VALUE!,#VALUE!,0,#VALUE!
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.00_o (2).jpg,.00_o (2).jpg,.00_o (2),.00_o ,7,.00_o 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.00_o.jpg,.00_o.jpg,.00_o,#VALUE!,0,.00_o
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.69 (2).jpg,.69 (2).jpg,.69 (2),.69 ,5,.69 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.69.jpg,.69.jpg,.69,#VALUE!,0,.69
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.A_No (2).jpg,.A_No (2).jpg,.A_No (2),.A_No ,7,.A_No 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.A_No.jpg,.A_No.jpg,.A_No,#VALUE!,0,.A_No
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.P. (2).jpg,.P. (2).jpg,.P. (2),.P. ,5,.P. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\.P..jpg,.P..jpg,.P.,#VALUE!,0,.P.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._ (2).jpg,._ (2).jpg,._ (2),._ ,4,._ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._.jpg,._.jpg,._,#VALUE!,0,._
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Al (2).jpg,._Al (2).jpg,._Al (2),._Al ,6,._Al 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Al.jpg,._Al.jpg,._Al,#VALUE!,0,._Al
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Ar (2).jpg,._Ar (2).jpg,._Ar (2),._Ar ,6,._Ar 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Ar.jpg,._Ar.jpg,._Ar,#VALUE!,0,._Ar
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._I_ (2).jpg,._I_ (2).jpg,._I_ (2),._I_ ,6,._I_ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._I_.jpg,._I_.jpg,._I_,#VALUE!,0,._I_
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._o (2).jpg,._o (2).jpg,._o (2),._o ,5,._o 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._o.jpg,._o.jpg,._o,#VALUE!,0,._o
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._p (2).jpg,._p (2).jpg,._p (2),._p ,5,._p 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._p.jpg,._p.jpg,._p,#VALUE!,0,._p
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._S (2).jpg,._S (2).jpg,._S (2),._S ,5,._S 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._S.jpg,._S.jpg,._S,#VALUE!,0,._S
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Sm (2).jpg,._Sm (2).jpg,._Sm (2),._Sm ,6,._Sm 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Sm.jpg,._Sm.jpg,._Sm,#VALUE!,0,._Sm
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Th (2).jpg,._Th (2).jpg,._Th (2),._Th ,6,._Th 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\._Th.jpg,._Th.jpg,._Th,#VALUE!,0,._Th
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0 (2).jpg,0 (2).jpg,0 (2),0 ,3,0 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0 (3).jpg,0 (3).jpg,0 (3),0 ,3,0 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0 (4).jpg,0 (4).jpg,0 (4),0 ,3,0 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0. (2).jpg,0. (2).jpg,0. (2),0. ,4,0. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0. (3).jpg,0. (3).jpg,0. (3),0. ,4,0. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0. (4).jpg,0. (4).jpg,0. (4),0. ,4,0. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0..jpg,0..jpg,0.,#VALUE!,0,0.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0.jpg,0.jpg,0,#VALUE!,0,0
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0._ (2).jpg,0._ (2).jpg,0._ (2),0._ ,5,0._ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0._.jpg,0._.jpg,0._,#VALUE!,0,0._
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\00 (2).jpg,00 (2).jpg,00 (2),00 ,4,00 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\00. (2).jpg,00. (2).jpg,00. (2),00. ,5,00. 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\00..jpg,00..jpg,00.,#VALUE!,0,00.
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\00.jpg,00.jpg,00,#VALUE!,0,00
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\09 (2).jpg,09 (2).jpg,09 (2),09 ,4,09 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\09.jpg,09.jpg,09,#VALUE!,0,09
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_ (2).jpg,0_ (2).jpg,0_ (2),0_ ,4,0_ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_.jpg,0_.jpg,0_,#VALUE!,0,0_
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_cts (2).jpg,0_cts (2).jpg,0_cts (2),0_cts ,7,0_cts 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_cts.jpg,0_cts.jpg,0_cts,#VALUE!,0,0_cts
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_on (2).jpg,0_on (2).jpg,0_on (2),0_on ,6,0_on 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\0_on.jpg,0_on.jpg,0_on,#VALUE!,0,0_on
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1 (2).jpg,1 (2).jpg,1 (2),1 ,3,1 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1.59 (2).jpg,1.59 (2).jpg,1.59 (2),1.59 ,6,1.59 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1.59.jpg,1.59.jpg,1.59,#VALUE!,0,1.59
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1.6 (2).jpg,1.6 (2).jpg,1.6 (2),1.6 ,5,1.6 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1.6.jpg,1.6.jpg,1.6,#VALUE!,0,1.6
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\1.jpg,1.jpg,1,#VALUE!,0,1
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\100 (2).jpg,100 (2).jpg,100 (2),100 ,5,100 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\100.jpg,100.jpg,100,#VALUE!,0,100
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\100._ (2).jpg,100._ (2).jpg,100._ (2),100._ ,7,100._ 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\100._.jpg,100._.jpg,100._,#VALUE!,0,100._
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\10H (2).jpg,10H (2).jpg,10H (2),10H ,5,10H 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\10H.jpg,10H.jpg,10H,#VALUE!,0,10H
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\11_or (2).jpg,11_or (2).jpg,11_or (2),11_or ,7,11_or 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\11_or.jpg,11_or.jpg,11_or,#VALUE!,0,11_or
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\12 (2).jpg,12 (2).jpg,12 (2),12 ,4,12 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\12 (3).jpg,12 (3).jpg,12 (3),12 ,4,12 
C:\Users\grant\Repos\Cursive-OCR-for-Geneology\all_dataset_combined\12 (4).jpg,12 (4).jpg,12 (4),12 ,4,12 
